,N,Q_1 [lb/h],proportion_%
/record_527,1452,30,2.066115702479339
/record_528,1865,66,3.53887399463807
/record_529,2160,25,1.1574074074074074
/record_53,3474,23,0.6620610247553252
/record_530,2197,4,0.18206645425580337
/record_531,2077,17,0.8184882041405874
/record_532,3589,91,2.535525215937587
/record_533,3848,95,2.4688149688149688
/record_534,2001,44,2.1989005497251375
/record_535,2965,23,0.775716694772344
/record_536,2153,3,0.13934045517882027
/record_537,2627,22,0.8374571754853445
/record_538,1140,14,1.2280701754385965
/record_539,2181,2,0.09170105456212746
/record_54,4003,42,1.0492130901823633
/record_540,2740,51,1.8613138686131385
/record_541,3168,9,0.2840909090909091
/record_542,4626,51,1.1024643320363166
/record_543,4974,36,0.7237635705669482
/record_544,2552,9,0.35266457680250785
/record_545,2440,9,0.36885245901639346
/record_546,3234,32,0.9894867037724181
/record_547,3321,25,0.7527853056308341
/record_548,3768,42,1.1146496815286624
/record_549,3381,111,3.2830523513753325
/record_55,4167,36,0.8639308855291578
/record_550,1276,35,2.74294670846395
/record_551,1787,25,1.3989927252378287
/record_552,1823,85,4.6626439934174435
/record_553,2905,37,1.2736660929432015
/record_554,3381,69,2.0408163265306123
/record_555,1448,1,0.06906077348066297
/record_556,1958,3,0.15321756894790603
/record_557,1778,2,0.11248593925759282
/record_558,3601,1,0.027770063871146906
/record_559,3680,23,0.625
/record_56,3498,20,0.5717552887364208
/record_560,3563,22,0.6174571989896155
/record_561,4089,3,0.07336757153338225
/record_562,3779,42,1.1114051336332362
/record_563,3362,111,3.301606186793575
/record_564,841,15,1.78359096313912
/record_565,3804,8,0.2103049421661409
/record_566,875,21,2.4
/record_567,2797,14,0.5005362888809438
/record_568,6515,73,1.1204911742133539
/record_569,2618,44,1.680672268907563
/record_57,3398,46,1.353737492642731
/record_570,3609,43,1.1914657799944584
/record_571,1226,0,0.0
/record_572,2645,7,0.26465028355387527
/record_573,3408,107,3.1396713615023475
/record_574,1261,11,0.8723235527359239
