vol,N1_moy,ALT_moy,TAT_moy,M_moy,Q_moy
0,110.72945019509022,22459.193318897916,3.63585505237536,0.4785185748235858,9188.17536458623
1,110.88823875047349,21832.415072647887,8.631358444995548,0.47956042714386127,9378.775697885534
2,110.73112567451227,22706.666023487385,3.1416923400301133,0.48310046199808804,9269.162854969209
3,110.16402682540169,24046.42294393587,-6.556275133729806,0.49302101756406685,8970.060813112937
4,104.05319881780343,17405.82601371597,-0.656237798780048,0.4411799972253606,9051.320585539865
5,105.17208449698072,17661.45443381579,0.30237828088354884,0.4486282983,9373.57229740579
6,109.95405163609637,22171.292899128002,-12.468687674315218,0.43475528328913043,9208.236478226388
7,105.72609078431557,23427.57397116336,-23.82988860283175,0.4887570339196768,8532.179379989688
8,107.80127499790188,20332.96562142406,-1.2671625149300776,0.4602136631603773,9295.888533749841
9,109.49552376042868,18926.01030359629,2.077512142255293,0.4235506765273973,9783.504698612393
10,104.63877554128052,23767.40430899723,-26.316732766450407,0.4872900836240816,8166.381838747284
11,106.13161354629925,23308.619363148493,-23.502402349194032,0.4906190301743756,8655.253677345176
12,107.98582736745146,22364.1614906794,-9.81320689592189,0.48430182064378385,9110.957704748402
13,104.17537160667442,19625.157632917293,-20.416914124204762,0.4576100808095238,8951.370885385473
14,106.39036211486768,20989.57628177231,-16.40815364832368,0.4702799184600674,9134.300981325057
15,100.03373922003979,17505.2249960235,-14.796653309902924,0.4531585977479124,8439.554805162965
16,106.11668871232993,19094.38553212728,-12.53381623382382,0.4632155220590551,9510.007721529038
17,105.76731476931388,22666.5516497155,-18.518336063473434,0.4790906558709678,8526.429698366253
18,107.28566954122687,22398.08815690765,-11.027449752791846,0.482956555070279,8928.389603154275
19,107.36634921530187,23731.341120534853,-16.86651808938049,0.491613641967033,8691.586923606577
20,103.82583474282406,21788.707738561003,-11.894326346398243,0.4687783130144531,8228.654374193287
21,108.29258264320502,22447.968789835177,-9.311879007671378,0.48519528189928063,9118.161747523676
22,108.52794871048718,23684.77965673945,-13.974544617522097,0.4939363093756906,8950.751444913813
23,108.89097855180913,19129.737790348263,-4.83175976677086,0.44193400876380373,9812.53486340377
24,104.98171548782875,19935.13022067781,-9.362085084966287,0.46571446792997917,8840.351300541244
25,110.01221276460417,21627.628905760477,-9.6260161842594,0.4319285418243244,9277.094698773133
26,107.95944499612493,23426.356796645116,-12.556635062553488,0.4935102365846511,8823.892864422429
27,107.13398276891259,20942.36250313543,-10.498850407704097,0.46749513019672123,9140.048487813203
28,104.8833737179545,18768.288720769742,-7.695236462878204,0.43604350273076925,8918.40368902711
29,106.65708358264665,19287.32127661288,-7.303358383190506,0.4547127688917722,9448.37257093526
30,107.94489445694207,22548.047040531997,-14.134462215870347,0.4845457355642933,9082.339187719634
31,105.62651751923975,20732.405131065756,-10.355707074343243,0.45834910189724076,8715.389181655399
32,108.38308623144557,21844.122766833494,-10.95889803723856,0.4668624266666667,9145.385372266013
33,104.42084014107881,18460.94646216088,-8.369601362370629,0.44253956071153855,9008.147835766444
34,103.82222347885816,7216.747987677211,2.0645330061463816,0.31980010275000004,11452.96411676908
35,107.2653871529915,22690.193237602656,-13.255518475707373,0.49114276069354845,8852.995923170272
36,108.18225251285423,22116.08394356163,-12.635806086322525,0.47194037875434114,9145.377360464507
37,104.14527988492752,18319.777960239328,-8.995583573068107,0.4479997607980769,9012.74360457124
