vol,duree_s,alt_debut_ft,alt_fin_ft,TAS_moy_ms,Vz_moy_ms,gamma_moy_deg,rho_moy,D_moy_N,F_moy_N,E_meca_GJ,conso_kg,eta,rend_Jkg,TSFC,delta_atmo_K
0,1548,278.19843288,39406.808017452,167.2261956662323,7.698402287831596,3.216414214752658,0.49477654790868186,1632.7170925792168,35434.16056932865,5.061817934088617,1504.0169602519388,0.07790584450431262,3365532.4825863056,3.948031821863854e-05,18.99660799115277
1,2844,579.5800685,39100.789741283996,181.9085657164788,4.138867599979629,1.733864768590541,0.40107032351618044,2196.009366336929,35843.1897346546,5.243304416585648,2308.029158284722,0.0525871984698693,2271766.9738983535,3.904099966841337e-05,21.379679852381006
2,2339,129.825935344,40575.241435548,172.9689808493821,5.277756178036005,2.2189330925840016,0.4232058718070056,1525.0361884882238,36535.18543110184,5.22215704787632,1944.7334844075415,0.06215929635929719,2685281.6027216385,3.901031570953253e-05,16.171836448709474
3,2400,255.01523014,41729.764932,173.22924320018885,5.2774498496066595,2.204827867264716,0.40766488054706024,741.2688265619228,35458.04648944675,5.292984410398254,1927.3472102534104,0.06357068753669344,2746253.701585157,4.0287637597953475e-05,11.151141098348
4,1152,-13.909921644,33611.007332452,152.1721925307039,8.933294926352973,4.034659558389007,0.6427836840416367,358.4272820410881,39786.367252090444,4.218487830030084,1139.436555359391,0.08570041112986448,3702257.760810146,3.459823078831988e-05,9.366100056129296
5,1183,-18.546562192,32456.483836,157.52752868012476,8.421606139883098,3.922832550441058,0.6229404735034796,341.9451435290084,42566.46406387992,4.130024732966985,1179.6013711595704,0.08104638288124129,3501203.740469624,3.590719577918898e-05,10.24965354198857
10,872,32.456483836,40575.241435548,147.23787687321138,14.280664809893658,6.441297992262326,0.56564000263079,462.8283562056193,54894.65114453089,4.969097374978027,914.7559769200896,0.12574435707525716,5432156.22565111,2.325843467560316e-05,5.612429831169886
11,2582,41.729764932,40565.968154452,174.14569537204932,4.800363134340656,2.1853684425383304,0.42802660158293515,-1778.896729972125,36125.63307275996,4.857615272952915,1986.5115358922496,0.05660415051882201,2445299.3024131106,3.9422377034319994e-05,3.593218557896046
12,1678,862.415141928,35929.327606451996,163.75571220720954,6.370815109595269,2.795979448602494,0.5071107875761259,988.0769516967327,37792.454112166146,4.428547817751995,1500.0286814819913,0.06834048057347901,2952308.7607742934,3.737987405041871e-05,13.185650509225512
13,1617,74.186248768,34779.440750548,159.0597625240622,6.553035430210523,3.107099730481245,0.5144059423917998,1551.4457361357013,45295.53206364499,4.4248320105514045,1467.5099617600617,0.06979623278881628,3015197.2564768633,3.105329020851915e-05,14.348817871200888
14,2766,199.375543564,41720.491650904,173.3446346933779,4.5777507803615,2.0930702861622303,0.43108522466424526,-1832.0054425668586,31535.404050905618,4.949247015348843,2157.162082076081,0.05310954799595557,2294332.4734252803,4.1374079622440444e-05,1.502874063517949
15,4258,125.189294796,39406.808017452,180.0869724812827,2.8168474763987246,1.276853841955215,0.38597532246095617,-1694.2577686178654,35320.98900645795,4.886984034065675,3052.0292997799884,0.03706538152380835,1601224.4818285208,4.2822576638977945e-05,4.651841330678689
16,4599,574.943427952,40570.604795,179.6810971438766,2.6557921794409305,1.119559188974627,0.36037203182812505,445.4557154661738,40560.66570827492,5.180987810196054,3057.3292614974184,0.03922713686566703,1694612.3125968156,3.445610516897687e-05,5.689695670279547
17,1949,176.19234082399998,35933.964246999996,167.89958415247668,5.600594761945106,2.5686432018632193,0.5313635823066021,-1619.3875214027817,35940.158754346325,4.307336121705443,1708.7133778360337,0.05835200681543165,2520806.6944266474,3.660272625209451e-05,0.5952711376996181
18,2584,148.372497536,37088.487743452,176.47535171481996,4.349340349655136,1.9451255654800947,0.45513561886152504,-893.5122272591958,39525.82418833745,4.563269015792648,2064.5687826827275,0.05116382079562582,2210277.0583710354,3.521104851206929e-05,2.2241447101972027
19,1163,111.279373152,33615.643973,149.50606093620047,8.841259174364547,3.9832816679758807,0.6968759765239225,-1266.3667480549113,32565.64697996318,3.9931845144288265,1146.2425821631668,0.08064159206897399,3483716.7773796762,3.852634360493461e-05,-4.347476736157329
20,1324,60.276327124,34779.440750548,164.10149779095835,7.956406158620297,3.5717478032021583,0.5675221965258496,-753.6731511026727,43029.07419359951,4.2265238782346914,1257.12389624606,0.07782542450844684,3362058.338764903,3.2574954961791e-05,1.6771821154998443
21,1471,55.639686576,40561.331513904,158.05767934528137,8.41586153396466,3.713156894450248,0.5433290478113703,-981.4952833904138,34741.52611164881,4.773172261118523,1351.8224942356983,0.08173417671931285,3530916.434274315,3.7600544274859414e-05,-0.2645208556068023
22,1379,139.09921644,39406.808017452,161.83221253821344,8.670938954009154,3.7417601087011825,0.5259064415280426,-119.8490085362485,38385.93561850675,4.750223083681549,1287.7517357262748,0.08538825041132506,3688772.4177692425,3.664433991324897e-05,4.603869110368254
23,2016,162.28241918,40570.604795,170.043331439907,6.1148653481392055,2.6849161196585802,0.4618531795341415,-698.5698491567126,34275.3298845228,4.89330674159742,1712.6724916606838,0.06613698178744994,2857117.6132178376,4.11959909162863e-05,5.457205545876934
24,2259,-13.909921644,40565.968154452,163.75335136199254,5.473465848586361,2.4380012696432423,0.5071622257121267,-1.9472230090368954,30304.56769300285,5.02224297420992,1886.1151325414041,0.06163760758674436,2662744.6477473564,4.435162713495259e-05,4.822908875998898
25,2043,166.919059728,39406.808017452,169.1848787902154,5.857473542616615,2.503229660291806,0.4563399189025724,342.9710777617995,37214.321328042235,4.879770811171492,1706.0790472021365,0.06620892381935661,2860225.508996206,3.8581419074101324e-05,4.813987978206831
26,3211,227.19538685199998,40561.331513904,176.80189265348145,3.8374848902240752,1.6527843275482126,0.3951240386019468,-217.86829615625646,34844.22699651057,5.042026208517674,2429.075612741691,0.048048553544151947,2075697.5131073638,4.13296557805158e-05,4.366435124342824
27,972,139.09921644,34746.984266712,147.99945132335654,10.835405106085176,4.934742668446499,0.63829581851059,308.752045239232,41522.04737872423,4.300424298214215,1104.460241639915,0.09013168152359234,3893688.6418191893,3.5047553876155625e-05,7.750189254615826
28,2325,208.64882466,37093.124384,165.5792128431197,4.862594941419714,2.0771266829538266,0.4817462320576782,-189.56384245560352,35534.16377915824,4.600116231252971,1808.9880241608098,0.05886394525422177,2542922.4349823804,3.585112718688085e-05,5.270677029254287
29,983,273.561792332,38252.284521,141.57330924849217,11.822511287659895,5.546433720309169,0.5957596327288593,486.41075739069015,43983.76705143865,4.59154095580166,1061.1929669611009,0.10015677975849475,4326772.885566974,3.1102210181387006e-05,7.889355981800032
30,1974,129.825935344,40575.241435548,169.4464431639813,6.260067751316949,2.6952711239941296,0.46194343713421765,-77.99720446138832,34624.60146361957,4.9754767447489465,1706.3791993127493,0.06749559115670238,2915809.537969543,4.0901054245337036e-05,5.262707367923997
31,2054,88.09617041199999,37079.214462356,171.56276042559688,5.503933353808035,2.4806480650599996,0.47722627951228935,-207.18764740522323,39304.67658598297,4.614120139093059,1742.6215516295288,0.06129175692404548,2647803.8991187653,3.585046026872218e-05,7.914903725173774
32,1370,301.38163562,35929.327606451996,151.92658488975772,7.953250323147798,3.551518066964193,0.5939372208436455,-13.983426822345589,36383.94571583487,4.366698948753204,1295.6382763238878,0.07801636925307492,3370307.151732837,3.374476240045779e-05,5.90510829939648
33,1368,-51.003046028,34760.894188356,161.20385867110895,7.750133550004374,3.453021454587866,0.5554008919701551,-107.86122484469095,42199.61151930906,4.29520040943811,1275.2786136375837,0.07796408905506465,3368048.647178793,3.382679483665945e-05,6.5400168508243395
34,1958,213.285465208,39425.354579644,170.09506372254802,6.11301681323603,2.6299866498303364,0.46177441916231154,-294.9263588105148,38305.11293454403,4.821568596493142,1644.6233171123265,0.06786379775646771,2931716.063079405,3.667378113888968e-05,3.826072255026069
35,1966,213.285465208,38247.647880452,164.969612108143,5.897571933167814,2.6221026411311588,0.5018619432946088,-15.991538420568311,34542.43423757287,4.69675462589883,1688.2176507050233,0.06439997345745248,2782078.8533619465,3.788079805021603e-05,7.572689267812521
36,1175,157.645778632,39420.717939096,156.28238863410942,10.129273630152138,4.433655084074709,0.5659120862757652,61.49142758998112,39259.10823746807,4.773594088847271,1214.9548099452575,0.09094977217526282,3929030.1579713537,3.3908955906903215e-05,6.481137650134501
37,1167,-32.456483836,33620.280613548,149.83355565575314,8.816672788025054,4.129578794396324,0.637795409894045,-552.4586457777212,38503.3478949987,4.106828946286631,1166.736050212761,0.08147985557694078,3519929.7609238415,3.628171493509451e-05,3.978959115716073
38,304,0.0,14679.603974968,104.91674227086062,14.795700272145028,8.660497170024186,1.011215031020107,-1288.4778502471472,60164.69936303105,1.8029911221695651,437.4068756079191,0.09541666565659573,4121999.9563649353,2.4962291284750954e-05,-4.480555332463943
39,2463,347.74804109999997,39406.808017452,174.14535834176954,4.860107022542988,2.0142947328266354,0.4412638363086159,-182.3270481986689,32358.432807973768,4.918351696317308,2030.720328667833,0.05606421135584717,2421973.9305725973,4.168477404621056e-05,7.854564354194498
40,3636,1024.697561108,38247.647880452,178.82120908524703,3.1257307151897695,1.3967969872096067,0.3958131800202085,-264.1940625769524,37650.98855728204,4.773154126691704,2678.275572084408,0.041254036742983106,1782174.3872968701,3.695339734515222e-05,11.54209799227392
41,1038,-37.093124384,35586.2162059,140.33877348078497,10.502822551139577,4.626038335263035,0.742915582976141,-1321.0612772687377,34580.406880346694,4.338871425861833,1144.9752462679398,0.08771965934546755,3789489.283724198,3.616523582560898e-05,1.3037495857490538
42,2742,250.378589592,39397.534736356,173.52599130011674,4.353433426121494,1.8769801391473568,0.41846437156748045,-7.797040198325322,37704.914516110686,4.916434928479183,2118.637449190243,0.05371677165843727,2320564.5356444903,3.7149417207873785e-05,5.183268647972926
43,1855,106.642732604,40575.241435548,165.6504640844195,6.66873355502252,2.878936994688283,0.4981763185342661,-237.6863131401037,33319.13696384555,4.917756359143007,1604.085652330382,0.0709668792265301,3065769.1825861004,4.160372517136939e-05,5.403960660685342
44,1948,231.8320274,39411.444658,168.43799395009893,6.1176081744458815,2.627052517956367,0.4647798637492682,82.68338605879471,37596.09843930616,4.82303100326697,1649.1492007595139,0.06769808100766005,2924557.0995309143,3.700823515462156e-05,4.886037436688681
45,1179,-18.546562192,32896.96468806,138.31680702326693,8.484456601387167,3.8778376508898047,0.7742624983569403,-789.8574503015327,31443.785407729636,3.994339617010725,1217.3524717820867,0.07595299418353896,3281169.3487288826,4.094868689190729e-05,1.436690510282866
46,1489,-27.819843288,35924.690965904,156.70709700177244,7.404169436122607,3.4150631803940694,0.5798644392832776,-428.400730165309,36858.084793080925,4.431462059698385,1313.6383824473298,0.0780885680880361,3373426.14140316,3.3188256270417086e-05,4.4557150573445945
47,1112,51.003046028,32451.847195452,141.72461697225748,8.904154925823821,4.361062515363357,0.6252081587877728,-337.78582420179526,45174.05605755244,3.8794369760664265,1078.5123486271843,0.08326449109988986,3597026.015515242,2.9663350046641257e-05,2.5677622704335716
48,595,-27.819843288,23211.022583288,118.01808481892867,12.056589557110009,6.084615308129069,0.9054971124410836,-575.2244438062937,42314.04451970875,2.8527945744266425,730.154156074866,0.09044242355622517,3907112.697628927,3.10793197240975e-05,-1.2311568927280985
49,630,-27.819843288,24708.657480292,120.57955913562758,12.11261792917107,6.000270814653744,0.8865691082551059,-564.4003984640011,41666.3910409079,3.027771307720427,769.0184000892098,0.09113864997468753,3937189.6789065013,3.1382595468159284e-05,-1.0621738427541896
50,2131,222.558746304,41725.128291452,169.06606009266014,5.935287749184954,2.521867221382546,0.4353001586715059,35.571756250698535,34419.59837492182,5.09109480648797,1755.375323370624,0.06713630711781905,2900288.4674897827,3.931103782285407e-05,8.998452858794822
51,2141,222.558746304,41729.764932,169.14238547269716,5.908121663911499,2.510260102100172,0.43447194223685376,35.6558339966802,34425.01432121615,5.091903960404204,1760.5152165394159,0.0669509392047563,2892280.5736454716,3.9304714692641956e-05,9.025388900054502
52,3579,139.09921644,40570.604795,178.89972905178445,3.459242353114941,1.4523420920262684,0.37660062064296884,-487.1948051043314,33723.47177562734,5.116215790420368,2669.508357952051,0.044364319265664864,1916538.5922767222,4.353653697550253e-05,9.339387748196147
53,3546,231.8320274,39411.444658,170.60001847855395,3.37604321067176,1.4318564217592882,0.3977773320749458,112.74840654737099,36560.59399647992,4.99070007651797,2528.1288015178507,0.04569603600293328,1974068.7553267176,3.795051675217949e-05,4.601354866381779
54,1694,129.825935344,39416.081298548,170.13856628560112,7.10538361020816,3.13743882302699,0.4822551089181908,-492.8480510223768,36058.326184302496,4.835101768006383,1546.3988493249963,0.07237696282950515,3126684.7942346223,4.300707989583279e-05,10.261223673661762
55,2084,463.6640548,40570.604795,170.46167418369208,5.8770992545362235,2.567362372751587,0.4592141738548213,357.37452100692275,34289.368842853975,5.020793460553798,1787.2606337940224,0.06502804831516647,2809211.6872151913,4.284444468216539e-05,8.177758431516915
56,2111,157.645778632,39402.171376904,174.24105964777186,5.666952965037829,2.413615229110363,0.45314022374982826,-8.472808902077618,40126.70041553748,4.926708323172434,1746.1946136501394,0.06531011678539027,2821397.0451288596,3.391011250676048e-05,3.8926443703839113
57,1662,-18.546562192,41725.128291452,165.60753430372432,7.688801967262087,3.192223055096724,0.5259338420314333,-405.2074370933974,29436.508029665623,5.097352501282968,1548.8089601735164,0.07618387670601576,3291143.473699881,4.9915869166058136e-05,7.904335063379134
